location,gcc,location_x
glenlusk,6ghob,glenlusk hob
glenorchy tas,6ghob,glenorchy tas hob
goodwood tas,6ghob,goodwood tas hob
granton,6ghob,granton hob
grasstree hill,6ghob,grasstree hill hob
herdsmans cove,6ghob,herdsmans cove hob
hobart,6ghob,hobart hob
honeywood,6ghob,honeywood hob
howden,6ghob,howden hob
howrah,6ghob,howrah hob
huntingfield,6ghob,huntingfield hob
kaoota,6ghob,kaoota hob
kellevie,6ghob,kellevie hob
kingston tas,6ghob,kingston tas hob
kingston beach,6ghob,kingston beach hob
lauderdale,6ghob,lauderdale hob
lawitta,6ghob,lawitta hob
lenah valley,6ghob,lenah valley hob
leslie vale,6ghob,leslie vale hob
lewisham tas,6ghob,lewisham tas hob
lindisfarne,6ghob,lindisfarne hob
longley,6ghob,longley hob
lower longley,6ghob,lower longley hob
lower snug,6ghob,lower snug hob
lutana,6ghob,lutana hob
magra,6ghob,magra hob
malbina,6ghob,malbina hob
margate tas,6ghob,margate tas hob
marion bay tas,6ghob,marion bay tas hob
midway point,6ghob,midway point hob
montagu bay,6ghob,montagu bay hob
montrose tas,6ghob,montrose tas hob
moonah,6ghob,moonah hob
mornington tas,6ghob,mornington tas hob
mount nelson,6ghob,mount nelson hob
mount rumney,6ghob,mount rumney hob
mount stuart tas,6ghob,mount stuart tas hob
neika,6ghob,neika hob
new norfolk,6ghob,new norfolk hob
new town tas,6ghob,new town tas hob
north hobart,6ghob,north hobart hob
nugent,6ghob,nugent hob
oakdowns,6ghob,oakdowns hob
old beach,6ghob,old beach hob
opossum bay,6ghob,opossum bay hob
orielton,6ghob,orielton hob
otago,6ghob,otago hob
pawleena,6ghob,pawleena hob
penna,6ghob,penna hob
pontville,6ghob,pontville hob
primrose sands,6ghob,primrose sands hob
queens domain,6ghob,queens domain hob
richmond tas,6ghob,richmond tas hob
ridgeway,6ghob,ridgeway hob
risdon,6ghob,risdon hob
risdon vale,6ghob,risdon vale hob
roches beach,6ghob,roches beach hob
rokeby tas,6ghob,rokeby tas hob
rose bay tas,6ghob,rose bay tas hob
rosetta,6ghob,rosetta hob
rosny,6ghob,rosny hob
rosny park,6ghob,rosny park hob
sandfly,6ghob,sandfly hob
sandford tas,6ghob,sandford tas hob
sandy bay,6ghob,sandy bay hob
seven mile beach,6ghob,seven mile beach hob
snug,6ghob,snug hob
sorell,6ghob,sorell hob
sorell creek,6ghob,sorell creek hob
south arm tas,6ghob,south arm tas hob
south hobart,6ghob,south hobart hob
taroona,6ghob,taroona hob
tea tree,6ghob,tea tree hob
tinderbox,6ghob,tinderbox hob
tolmans hill,6ghob,tolmans hill hob
tranmere tas,6ghob,tranmere tas hob
warrane,6ghob,warrane hob
wattle hill tas,6ghob,wattle hill tas hob
wellington park,6ghob,wellington park hob
west hobart,6ghob,west hobart hob
west moonah,6ghob,west moonah hob
acacia hills nt,7gdar,acacia hills nt dar
alawa,7gdar,alawa dar
anula,7gdar,anula dar
archer,7gdar,archer dar
bakewell,7gdar,bakewell dar
bayview nt,7gdar,bayview nt dar
bees creek,7gdar,bees creek dar
bellamack,7gdar,bellamack dar
berrimah,7gdar,berrimah dar
berry springs,7gdar,berry springs dar
black jungle,7gdar,black jungle dar
blackmore,7gdar,blackmore dar
brinkin,7gdar,brinkin dar
buffalo creek,7gdar,buffalo creek dar
casuarina nt,7gdar,casuarina nt dar
channel island,7gdar,channel island dar
charles darwin,7gdar,charles darwin dar
coconut grove,7gdar,coconut grove dar
coolalinga,7gdar,coolalinga dar
coonawarra nt,7gdar,coonawarra nt dar
daly,7gdar,daly dar
darwin,7gdar,darwin dar
darwin city,7gdar,darwin city dar
darwin river,7gdar,darwin river dar
driver,7gdar,driver dar
durack nt,7gdar,durack nt dar
east arm,7gdar,east arm dar
east point,7gdar,east point dar
eaton nt,7gdar,eaton nt dar
elrundie,7gdar,elrundie dar
fannie bay,7gdar,fannie bay dar
farrar,7gdar,farrar dar
fly creek,7gdar,fly creek dar
freds pass,7gdar,freds pass dar
girraween nt,7gdar,girraween nt dar
glyde point,7gdar,glyde point dar
gray nt,7gdar,gray nt dar
gunn,7gdar,gunn dar
gunn point,7gdar,gunn point dar
herbert,7gdar,herbert dar
hidden valley nt,7gdar,hidden valley nt dar
holmes,7gdar,holmes dar
holtze,7gdar,holtze dar
howard springs,7gdar,howard springs dar
hughes nt,7gdar,hughes nt dar
humpty doo,7gdar,humpty doo dar
jingili,7gdar,jingili dar
johnston,7gdar,johnston dar
karama,7gdar,karama dar
knuckey lagoon,7gdar,knuckey lagoon dar
koolpinyah,7gdar,koolpinyah dar
lambells lagoon,7gdar,lambells lagoon dar
larrakeyah,7gdar,larrakeyah dar
leanyer,7gdar,leanyer dar
lee point,7gdar,lee point dar
livingstone,7gdar,livingstone dar
lloyd creek,7gdar,lloyd creek dar
ludmilla,7gdar,ludmilla dar
lyons nt,7gdar,lyons nt dar
malak,7gdar,malak dar
manton nt,7gdar,manton nt dar
marlow lagoon,7gdar,marlow lagoon dar
marrara,7gdar,marrara dar
mcminns lagoon,7gdar,mcminns lagoon dar
micket creek,7gdar,micket creek dar
middle point,7gdar,middle point dar
millner,7gdar,millner dar
mitchell nt,7gdar,mitchell nt dar
moil,7gdar,moil dar
moulden,7gdar,moulden dar
muirhead,7gdar,muirhead dar
murrumujuk,7gdar,murrumujuk dar
nakara,7gdar,nakara dar
nightcliff,7gdar,nightcliff dar
noonamah,7gdar,noonamah dar
palmerston city,7gdar,palmerston city dar
parap,7gdar,parap dar
pinelands nt,7gdar,pinelands nt dar
rapid creek,7gdar,rapid creek dar
rosebery nt,7gdar,rosebery nt dar
shoal bay nt,7gdar,shoal bay nt dar
southport nt,7gdar,southport nt dar
stuart park,7gdar,stuart park dar
the gardens nt,7gdar,the gardens nt dar
the narrows nt,7gdar,the narrows nt dar
tivendale,7gdar,tivendale dar
tiwi,7gdar,tiwi dar
tumbling waters,7gdar,tumbling waters dar
vernon islands,7gdar,vernon islands dar
virginia nt,7gdar,virginia nt dar
wagaman,7gdar,wagaman dar
wak wak,7gdar,wak wak dar
wanguri,7gdar,wanguri dar
weddell,7gdar,weddell dar
wickham nt,7gdar,wickham nt dar
winnellie,7gdar,winnellie dar
wishart nt,7gdar,wishart nt dar
woodroffe,7gdar,woodroffe dar
woolner,7gdar,woolner dar
wulagi,7gdar,wulagi dar
yarrawonga nt,7gdar,yarrawonga nt dar
zuccoli,7gdar,zuccoli dar
belconnen act,8acte,belconnen act cte
booth act,8acte,booth act cte
canberra,8acte,canberra cte
canberra act,8acte,canberra act cte
coree act,8acte,coree act cte
cotter river act,8acte,cotter river act cte
gungahlin act,8acte,gungahlin act cte
hall act,8acte,hall act cte
jerrabomberra act,8acte,jerrabomberra act cte
kowen act,8acte,kowen act cte
majura act,8acte,majura act cte
molonglo valley act,8acte,molonglo valley act cte
paddys river act,8acte,paddys river act cte
rendezvous creek act,8acte,rendezvous creek act cte
stromlo act,8acte,stromlo act cte
tuggeranong act,8acte,tuggeranong act cte
weston creek act,8acte,weston creek act cte
acton act,8acte,acton act cte
ainslie,8acte,ainslie cte
amaroo act,8acte,amaroo act cte
aranda,8acte,aranda cte
banks,8acte,banks cte
barton,8acte,barton cte
beard,8acte,beard cte
belconnen,8acte,belconnen cte
bonner,8acte,bonner cte
bonython,8acte,bonython cte
braddon,8acte,braddon cte
bruce act,8acte,bruce act cte
calwell,8acte,calwell cte
campbell,8acte,campbell cte
canberra airport,8acte,canberra airport cte
capital hill,8acte,capital hill cte
casey,8acte,casey cte
chapman,8acte,chapman cte
charnwood,8acte,charnwood cte
chifley act,8acte,chifley act cte
chisholm act,8acte,chisholm act cte
city,8acte,city cte
conder,8acte,conder cte
cook,8acte,cook cte
coombs,8acte,coombs cte
crace,8acte,crace cte
curtin,8acte,curtin cte
deakin,8acte,deakin cte
denman prospect,8acte,denman prospect cte
dickson,8acte,dickson cte
downer,8acte,downer cte
duffy,8acte,duffy cte
dunlop,8acte,dunlop cte
evatt,8acte,evatt cte
fadden,8acte,fadden cte
farrer,8acte,farrer cte
fisher act,8acte,fisher act cte
florey,8acte,florey cte
flynn act,8acte,flynn act cte
forde,8acte,forde cte
forrest act,8acte,forrest act cte
franklin act,8acte,franklin act cte
fraser,8acte,fraser cte
fyshwick,8acte,fyshwick cte
garran,8acte,garran cte
gilmore act,8acte,gilmore act cte
giralang,8acte,giralang cte
gordon act,8acte,gordon act cte
gowrie act,8acte,gowrie act cte
greenway,8acte,greenway cte
griffith act,8acte,griffith act cte
gungahlin,8acte,gungahlin cte
hackett,8acte,hackett cte
hall,8acte,hall cte
harrison,8acte,harrison cte
hawker act,8acte,hawker act cte
higgins,8acte,higgins cte
holder act,8acte,holder act cte
holt,8acte,holt cte
hughes act,8acte,hughes act cte
hume,8acte,hume cte
isaacs,8acte,isaacs cte
isabella plains,8acte,isabella plains cte
jacka,8acte,jacka cte
kaleen,8acte,kaleen cte
kambah,8acte,kambah cte
kingston act,8acte,kingston act cte
latham act,8acte,latham act cte
lawson act,8acte,lawson act cte
lyneham,8acte,lyneham cte
lyons act,8acte,lyons act cte
macarthur act,8acte,macarthur act cte
macgregor act,8acte,macgregor act cte
macnamara,8acte,macnamara cte
macquarie,8acte,macquarie cte
mawson,8acte,mawson cte
mckellar,8acte,mckellar cte
melba,8acte,melba cte
mitchell act,8acte,mitchell act cte
molonglo,8acte,molonglo cte
monash act,8acte,monash act cte
moncrieff,8acte,moncrieff cte
narrabundah,8acte,narrabundah cte
ngunnawal,8acte,ngunnawal cte
nicholls,8acte,nicholls cte
o'connor act,8acte,o'connor act cte
o'malley,8acte,o'malley cte
oaks estate,8acte,oaks estate cte
oxley act,8acte,oxley act cte
page,8acte,page cte
palmerston act,8acte,palmerston act cte
parkes act,8acte,parkes act cte
pearce,8acte,pearce cte
phillip,8acte,phillip cte
pialligo,8acte,pialligo cte
red hill act,8acte,red hill act cte
reid act,8acte,reid act cte
richardson,8acte,richardson cte
rivett,8acte,rivett cte
russell,8acte,russell cte
scullin,8acte,scullin cte
spence act,8acte,spence act cte
stirling act,8acte,stirling act cte
strathnairn,8acte,strathnairn cte
symonston,8acte,symonston cte
taylor,8acte,taylor cte
tharwa,8acte,tharwa cte
theodore act,8acte,theodore act cte
throsby,8acte,throsby cte
torrens,8acte,torrens cte
turner,8acte,turner cte
uriarra village,8acte,uriarra village cte
wanniassa,8acte,wanniassa cte
waramanga,8acte,waramanga cte
watson,8acte,watson cte
weetangera,8acte,weetangera cte
weston act,8acte,weston act cte
whitlam,8acte,whitlam cte
wright,8acte,wright cte
yarralumla,8acte,yarralumla cte
